nombre_archivo,url_oficial_verificada
Real_Decreto_658_2024_9_julio_modifican_Real.pdf,https://www.boe.es/boe/dias/2024/07/10/pdfs/BOE-A-2024-14079.pdf
Real_Decreto_659_2023_18_julio_desarrolla_ordenacion.pdf,https://www.boe.es/buscar/pdf/2023/BOE-A-2023-16889-consolidado.pdf
Real_Decreto_69_2025_4_febrero_desarrollan_elementos.pdf,https://www.boe.es/boe/dias/2025/02/05/pdfs/BOE-A-2025-2039.pdf
Real_Decreto_86_2025_11_febrero_evaluacion_acreditacion.pdf,https://www.boe.es/boe/dias/2025/02/12/pdfs/BOE-A-2025-2575.pdf
Real_Decreto_207_2025_18_marzo_regulan_aspectos.pdf,https://www.boe.es/boe/dias/2025/04/04/pdfs/BOE-A-2025-6797.pdf
Real_Decreto_208_2025_18_marzo_regulan_aspectos.pdf,https://www.boe.es/boe/dias/2025/04/08/pdfs/BOE-A-2025-7040.pdf
Real_Decreto_209_2025_18_marzo_regulan_aspectos.pdf,https://www.boe.es/boe/dias/2025/04/03/pdfs/BOE-A-2025-6699.pdf
Real_Decreto_210_2025_18_marzo_regulan_aspectos.pdf,https://www.boe.es/boe/dias/2025/04/15/pdfs/BOE-A-2025-7588.pdf
Real_Decreto_211_2025_18_marzo_regulan_aspectos.pdf,https://www.boe.es/boe/dias/2025/04/09/pdfs/BOE-A-2025-7096.pdf
Real_Decreto_212_2025_18_marzo_regulan_aspectos.pdf,https://www.boe.es/boe/dias/2025/04/10/pdfs/BOE-A-2025-7193.pdf
Real_Decreto_213_2025_18_marzo_regulan_aspectos.pdf,https://www.boe.es/boe/dias/2025/04/11/pdfs/BOE-A-2025-7295.pdf
Correccion_errores_Real_Decreto_497_2024_21_mayo.pdf,https://www.boe.es/boe/dias/2025/05/23/pdfs/BOE-A-2025-10204.pdf
Correccion_errores_Real_Decreto_500_2024_21_mayo.pdf,https://www.boe.es/boe/dias/2025/05/23/pdfs/BOE-A-2025-10205.pdf
Real_Decreto_1085_2020_9_diciembre_establecen_convalidaciones.pdf,https://www.boe.es/buscar/pdf/2020/BOE-A-2020-17274-consolidado.pdf
Real_Decreto_127_2014_28_febrero_regulan_aspectos.pdf,https://www.boe.es/buscar/pdf/2014/BOE-A-2014-2360-consolidado.pdf
Real_Decreto_497_2024_21_mayo_modifican_determinados_1.pdf,https://www.boe.es/boe/dias/2024/05/28/pdfs/BOE-A-2024-10682.pdf
